paris_siglum;title_1;title_2;title_3;title_4;title_5;title_6;title_7;language;dialect;lat;lon;iso-3;century;date_start;date_end;author;bibl;add_inf;add_inf_2;date_mean;;;;;;;;;;;;;;
Based on A;Cassidorus;Helcanus;;;;;;French;;46.227683;2.213794;FRA;1400;1301;1325;;Bruxelles, Bibliothèque royale de Belgique, 9401;https://opac.kbr.be/LIBRARY/doc/SYRACUSE/16453546;;1313;;;;;;;;;;;;;;
Based on A;Helcanus;Pelyarmenus;Kanor;;;;;French;;46.227684;2.213795;FRA;1400;1325;1350;;London, British Library, Harley, 4903;http://searcharchives.bl.uk/IAMS_VU2:LSCOP_BL:IAMS040-002050747;;1337,5;;;;;;;;;;;;;;
Based on A;Pelyarmenus;Cassidorus;Helcanus;;;;;French;;46.227685;2.213796;FRA;1400;1301;1400;;Torino, Biblioteca nazionale universitaria, L. III. 8;https://jonas.irht.cnrs.fr/manuscrit/78912;;1350,5;;;;;;;;;;;;;;
A;Le roman des Sept Sages de Rome;;;;;;;French;;46.227686;2.213797;FRA;1500;1440;1460;;Fribourg, Bibliothèque cantonale et universitaire, L. 13, f. 153r;https://www.fr.ch/bcu/manuscrits-conserves-a-la-bibliotheque-cantonale-et-universitaire;;1450;;;;;;;;;;;;;;
A;Le roman des Sept Sages de Rome;;;;;;;French;;46.227687;2.213798;FRA;1500;1401;1500;;Paris, Bibliothèque nationale de France, Arsenal, 3354;https://jonas.irht.cnrs.fr/consulter/manuscrit/detail_manuscrit.php?projet=42982;;1450,5;;;;;;;;;;;;;;
A;Le roman des Sept Sages de Rome;Marques de Rome;Laurin;Cassidorus;Helcanus;Pelyarmenus;Kanor;French;;46.227688;2.213799;FRA;1500;1466;;;Paris, Bibliothèque nationale de France, français, 93;https://archivesetmanuscrits.bnf.fr/ark:/12148/cc511879;;1466;;;;;;;;;;;;;;
A;Le roman des Sept Sages de Rome;;;;;;;French;;46.227689;2.213800;FRA;1500;1401;1500;;Paris, Bibliothèque nationale de France, Français, 5586, f. 89;https://archivesetmanuscrits.bnf.fr/ark:/12148/cc58537x;;1450,5;;;;;;;;;;;;;;
A;Li livres des VII sages de Rome;Marques de Rome;;;;;;French;;46.227690;2.213801;FRA;1500;1401;1500;;Saint-Étienne, Médiathèque municipale, 109;https://www.arlima.net/mss/france/saint-etienne/bibliotheque_municipale/109.html#F1;;1450,5;;;;;;;;;;;;;;
D;Des Sept Sages de Romme;;;;;;;French;;46.227691;2.213802;FRA;1500;1401;1500;;Paris, Bibliothèque nationale de France, Français, 5036, f. 42-72;https://gallica.bnf.fr/ark:/12148/btv1b9007463c;;1450,5;;;;;;;;;;;;;;
L;Le rommant des sept saiges;;;;;;;French;;46.227692;2.213803;FRA;1500;1401;1500;;Paris, Bibliothèque nationale de France, Français, 189, f. 298vb-335rb;https://portail.biblissima.fr/ark:/43093/mdatae265b4babf251c461d5c98dd81e2d4f59f5649b5;;1450,5;;;;;;;;;;;;;;
M;L'istoire de la male marrastre et des VII saiges de Romme la cité;;;;;;;French;Picard;46.227693;2.213804;FRA;1500;1401;1500;;Paris, Bibliothèque nationale de France, Arsenal, 2998;https://archivesetmanuscrits.bnf.fr/ark:/12148/cc83727p;Runte, Li Ystoire de la male marastre xxvii-xxviii;1450,5;;;;;;;;;;;;;;
M;Livre de la fausse marrastre;;;;;;;French;Picard;46.227694;2.213805;FRA;1500;1401;1500;;Paris, Bibliothèque nationale de France, Arsenal, 2999;https://archivesetmanuscrits.bnf.fr/ark:/12148/cc83728x;Runte, Li Ystoire de la male marastre xxviii;1450,5;;;;;;;;;;;;;;
M;L'istoire de la malle marrastre et des VII sages de Romme la cité;;;;;;;French;;46.227695;2.213806;FRA;1500;1400;1450;;Paris, Bibliothèque nationale de France, Français, 573;https://archivesetmanuscrits.bnf.fr/ark:/12148/cc508235;Runte, Li Ystoire de la male marastre xxiv-xxvi;1425;;;;;;;;;;;;;;
Based on A;Marques de Rome;;;;;;;French;;46.227696;2.213807;FRA;1500;1401;1500;;København, Kongelige biblioteket, Fragment, 1767;https://www.arlima.net/mss/danmark/kobenhavn/kongelige_bibliotek/fragment/1767.html;;1450,5;;;;;;;;;;;;;;
Based on A;Marques de Rome;;;;;;;French;;46.227697;2.213808;FRA;1500;1401;1500;;Paris, Bibliothèque de l'Institut de France, 611;http://www.calames.abes.fr/pub/institut.aspx#details?id=IF2A11701;;1450,5;;;;;;;;;;;;;;
A;Le roman des Sept Sages de Rome;;;;;;;French;;46.227698;2.213809;FRA;1800;1701;1800;;Paris, Bibliothèque nationale de France, Moreau, 1691, f. 87r-171v;https://www.arlima.net/mss/france/paris/bibliotheque_nationale_de_france/moreau/1691.html;;1750,5;;;;;;;;;;;;;;
A;Le roman des Sept Sages de Rome;;;;;;;French;;46.227699;2.213810;FRA;1800;1701;1800;;Paris, Bibliothèque nationale de France, Moreau, 1720-1721;https://www.arlima.net/mss/france/paris/bibliotheque_nationale_de_france/moreau/1720-1721.html#F1;;1750,5;;;;;;;;;;;;;;
Based on A;Marques de Rome;;;;;;;French;;46.227700;2.213811;FRA;#DIV/0!;;;;Bruxelles, Archives générales du Royaume, 1411.H, XIII;https://www.arlima.net/mp/marques_de_rome.html;;#DIV/0!;;;;;;;;;;;;;;
Based on A;Marques de Rome;;;;;;;French;;46.227701;2.213812;FRA;#DIV/0!;;;;Chieri, Archivio storico comunale, couverture du registre coté « Art. 149.01.389 – C1 »;https://www.arlima.net/mp/marques_de_rome.html;;#DIV/0!;;;;;;;;;;;;;;
