paris_siglum;title_1;title_2;title_3;title_4;title_5;title_6;title_7;language;dialect;iso-3;date_start;date_end;author;bibl;add_inf;add_inf_2
A;Li livres des VII sages de Rome;Marques de Rome;;;;;;French;;FRA;1401;1500;;Saint-Étienne, Médiathèque municipale, 109;https://www.arlima.net/mss/france/saint-etienne/bibliotheque_municipale/109.html#F1;
D;Des Sept Sages de Romme;;;;;;;French;;FRA;1401;1500;;Paris, Bibliothèque nationale de France, Français, 5036, f. 42-72;https://gallica.bnf.fr/ark:/12148/btv1b9007463c;
L;Le rommant des sept saiges;;;;;;;French;;FRA;1401;1500;;Paris, Bibliothèque nationale de France, Français, 189, f. 298vb-335rb;https://portail.biblissima.fr/ark:/43093/mdatae265b4babf251c461d5c98dd81e2d4f59f5649b5;
M;L'istoire de la male marrastre et des VII saiges de Romme la cité;;;;;;;French;Picard;FRA;1401;1500;;Paris, Bibliothèque nationale de France, Arsenal, 2998;https://archivesetmanuscrits.bnf.fr/ark:/12148/cc83727p;Runte, Li Ystoire de la male marastre xxvii-xxviii
M;Livre de la fausse marrastre;;;;;;;French;Picard;FRA;1401;1500;;Paris, Bibliothèque nationale de France, Arsenal, 2999;https://archivesetmanuscrits.bnf.fr/ark:/12148/cc83728x;Runte, Li Ystoire de la male marastre xxviii
M;L'istoire de la malle marrastre et des VII sages de Romme la cité;;;;;;;French;;FRA;1400;1450;;Paris, Bibliothèque nationale de France, Français, 573;https://archivesetmanuscrits.bnf.fr/ark:/12148/cc508235;Runte, Li Ystoire de la male marastre xxiv-xxvi
Based on A;Marques de Rome;;;;;;;French;;FRA;1401;1500;;København, Kongelige biblioteket, Fragment, 1767;https://www.arlima.net/mss/danmark/kobenhavn/kongelige_bibliotek/fragment/1767.html;
Based on A;Marques de Rome;;;;;;;French;;FRA;1401;1500;;Paris, Bibliothèque de l'Institut de France, 611;http://www.calames.abes.fr/pub/institut.aspx#details?id=IF2A11701;
A;Le roman des Sept Sages de Rome;;;;;;;French;;FRA;1701;1800;;Paris, Bibliothèque nationale de France, Moreau, 1691, f. 87r-171v;https://www.arlima.net/mss/france/paris/bibliotheque_nationale_de_france/moreau/1691.html;
A;Le roman des Sept Sages de Rome;;;;;;;French;;FRA;1701;1800;;Paris, Bibliothèque nationale de France, Moreau, 1720-1721;https://www.arlima.net/mss/france/paris/bibliotheque_nationale_de_france/moreau/1720-1721.html#F1;
Based on A;Marques de Rome;;;;;;;French;;FRA;;;;Bruxelles, Archives générales du Royaume, 1411.H, XIII;https://www.arlima.net/mp/marques_de_rome.html;
Based on A;Marques de Rome;;;;;;;French;;FRA;;;;Chieri, Archivio storico comunale, couverture du registre coté « Art. 149.01.389 – C1 »;https://www.arlima.net/mp/marques_de_rome.html;
;Dolopathos;;;;;;;Latin;;;1201;1300;Jean de Haute-Seille (Johannes de Alta Silva);Luxemburg, Bibliothèque nationale de Luxembourg, Ms 110;https://bibliotheca-laureshamensis-digital.de/view/bnl_ms110;
S;De Spiritu Guidonis;;;;;;;Latin;;;1233;1266;Jean Gobi Le Jeune, Johannes Gobius;Heidelberg, Universitätsbibliothek, 397;https://katalog.ub.uni-heidelberg.de/titel/66568959;
S;Scala coeli;;;;;;;Latin;;;1301;1400;Jean Gobi Le Jeune, Johannes Gobius;Madrid, Biblioteca nacional de España, 1113;http://catalogo.bne.es/uhtbin/cgisirsi/?ps=O8t5whFGTJ/BNMADRID/152071524/9;
S;De Spiritu Guidonis;;;;;;;Latin;;;1375;1399;Jean Gobi Le Jeune, Johannes Gobius;Cambridge, Corpus Christi College, Parker Library, Ms 218;https://parker.stanford.edu/parker/catalog/xz042hy3921;
H;Historia septem sapientium;;;;;;;Latin;;;1375;;;Admont, Stiftsbibliothek, Benediktinerstift, Cod. 362;https://manuscripta.at/hs_detail.php?ID=26918;
